Partlist

Exported from Carte-mere-dashboard v43.sch at 24/06/2026 21:56

EAGLE Version 9.7.0 Copyright (c) 1988-2026 Autodesk, Inc.

Assembly variant: 

Part     Value                        Device                             Package                     Library             Sheet

BT1      3034                         3034                               BAT_3034                    MAXxx               1
C1       0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C2       1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C3       0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C4       1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C5       22u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C6       22u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C7       22u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C8       10u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C9       47n                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C10      1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C11      4.7u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C12      10u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C13      100u                         C_CHIP-1206(3216-METRIC)           C1206                       MAXxx               1
C14      47u 16V                      C_CHIP-1206(3216-METRIC)           C1206                       MAXxx               1
C15      1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C16      1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C17      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C18      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C19      10u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C20      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C21      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C22      22u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C23      22u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C24      10u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C25      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C26      75p                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C27      1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C28      1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C29      10u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C30      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C31      1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C32      1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C33      22u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C34      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C35      1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C36      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C37      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C38      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C39      4.7u 50V                     C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C40      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C41      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C42      10u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C43      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C44      10u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C45      10u                          C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C46      1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C47      8.2p                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C48      8.2p                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C49      2.2u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C50      2.2u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C51      1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C52      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C53      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C54      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C55      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C56      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C57      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C58      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C59      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C60      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C61      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C62      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C63      4.7u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C64      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C65      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C66      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C67      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C68      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C69      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C70      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C71      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C72      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C73      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C74      4.7u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C75      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C76      1u                           C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
C77      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
D1       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D2       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D3       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D4       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D5       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D6       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D7       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D8       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D9       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D10      WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D11      DIODEMS2A40LWS               DIODEMS2A40LWS                     MS2A40LWS                   MAXxx               1
D12      DIODEMS2A40LWS               DIODEMS2A40LWS                     MS2A40LWS                   MAXxx               1
D13      DIODEDO-214AC(SMA)           DIODEDO-214AC(SMA)                 DIOM5226X290N               Diode               1
F1       2A 10V                       FUSE_CHIP-1206(3216-METRIC)        FUSC3215X82N                Circuit-Protection  1
FB1      FB_BLM18AG601SN1D_0603(1608) FB_BLM18AG601SN1D_0603(1608)       BEADC1608X95N               Filter              1
FB2      FBCHIP-0805(2012-METRIC)     FBCHIP-0805(2012-METRIC)           BEADC2012X105N              Filter              1
IC1      W25N01GVZEIG                 W25N01GVZEIG                       SON127P800X600X80-9M        MAXxx               1
IC2      DIO5661ST6                   DIO5661ST6                         SOT95P280X125-6M            MAXxx               1
IC3      STM32H743BIT6                STM32H743BIT6                      QFP50P3000X3000X160-208M    MAXxx               1
J1       B3B-XH-A                     B3B-XH-A                           B3B-XH-A                    Connector           1
J2       U.FL-R-SMT-101               U.FL-R-SMT-101                     U.FL-R-SMT-1(XX)            Connector           1
J3       MSD-4-A                      MSD-4-A                            CUI_MSD-4-A                 MAXxx               1
